RT_category	SampleTypev2	KEGG_category_name	KEGG_subcategory_name	KEGG_pathway_name	KO	description	gene_mean	nSampleTypes
Intermediate RT	Tongue_dorsum	Metabolism	Metabolism of terpenoids and polyketides	Biosynthesis of siderophore group nonribosomal peptides	K12240	L-cysteine---[L-cysteinyl-carrier protein] ligase PchF	2.271043062200957e-9	418
Intermediate RT	Tongue_dorsum	Metabolism	Metabolism of terpenoids and polyketides	Biosynthesis of siderophore group nonribosomal peptides	K12241	pyochelin biosynthesis protein PchG	3.980208133971292e-9	418
Intermediate RT	Tongue_dorsum	Metabolism	Amino acid metabolism	Arginine and proline metabolism	K12251	N-carbamoylputrescine amidase	2.1414461172248803e-4	418
Intermediate RT	Tongue_dorsum	Metabolism	Amino acid metabolism	Arginine and proline metabolism	K12255	guanidinobutyrase	7.158636363636363e-8	418
Intermediate RT	Tongue_dorsum	Cellular Processes	Cellular community - prokaryotes	Quorum sensing	K12257	SecD/SecF fusion protein	1.68317510215311e-4	418
Intermediate RT	Tongue_dorsum	Environmental Information Processing	Membrane transport	Bacterial secretion system	K12257	SecD/SecF fusion protein	1.68317510215311e-4	418
Intermediate RT	Tongue_dorsum	Genetic Information Processing	Folding, sorting and degradation	Protein export	K12257	SecD/SecF fusion protein	1.68317510215311e-4	418
Intermediate RT	Tongue_dorsum	Cellular Processes	Cellular community - prokaryotes	Quorum sensing	K12292	ATP-binding cassette, subfamily C, bacterial, competence factor transporting protein	3.0333505110047846e-5	418
Intermediate RT	Tongue_dorsum	Environmental Information Processing	Membrane transport	ABC transporters	K12292	ATP-binding cassette, subfamily C, bacterial, competence factor transporting protein	3.0333505110047846e-5	418
Intermediate RT	Tongue_dorsum	Environmental Information Processing	Signal transduction	Two-component system	K12292	ATP-binding cassette, subfamily C, bacterial, competence factor transporting protein	3.0333505110047846e-5	418
Intermediate RT	Tongue_dorsum	Cellular Processes	Cellular community - prokaryotes	Quorum sensing	K12293	competence factor transport accessory protein ComB	6.3592965406698565e-6	418
Intermediate RT	Tongue_dorsum	Environmental Information Processing	Signal transduction	Two-component system	K12293	competence factor transport accessory protein ComB	6.3592965406698565e-6	418
Intermediate RT	Tongue_dorsum	Cellular Processes	Cellular community - prokaryotes	Quorum sensing	K12294	two-component system, LytTR family, sensor histidine kinase ComD	3.853030074162679e-5	418
Intermediate RT	Tongue_dorsum	Environmental Information Processing	Signal transduction	Two-component system	K12294	two-component system, LytTR family, sensor histidine kinase ComD	3.853030074162679e-5	418
Intermediate RT	Tongue_dorsum	Cellular Processes	Cellular community - prokaryotes	Quorum sensing	K12295	two-component system, LytTR family, response regulator ComE	5.143999289473684e-5	418
Intermediate RT	Tongue_dorsum	Environmental Information Processing	Signal transduction	Two-component system	K12295	two-component system, LytTR family, response regulator ComE	5.143999289473684e-5	418
Intermediate RT	Tongue_dorsum	Cellular Processes	Cellular community - prokaryotes	Quorum sensing	K12296	competence protein ComX	1.2913802480861244e-4	418
Intermediate RT	Tongue_dorsum	Environmental Information Processing	Signal transduction	Two-component system	K12296	competence protein ComX	1.2913802480861244e-4	418
Intermediate RT	Tongue_dorsum	Metabolism	Carbohydrate metabolism	Galactose metabolism	K12308	beta-galactosidase	1.1905411196172249e-4	418
Intermediate RT	Tongue_dorsum	Metabolism	Amino acid metabolism	Cysteine and methionine metabolism	K12339	S-sulfo-L-cysteine synthase (O-acetyl-L-serine-dependent)	5.963762057416268e-7	418
Intermediate RT	Tongue_dorsum	Environmental Information Processing	Membrane transport	Bacterial secretion system	K12340	outer membrane protein	2.1586458753588516e-5	418
Intermediate RT	Tongue_dorsum	Environmental Information Processing	Signal transduction	Two-component system	K12340	outer membrane protein	2.1586458753588516e-5	418
Intermediate RT	Tongue_dorsum	Human Diseases	Drug resistance: antimicrobial	Cationic antimicrobial peptide (CAMP) resistance	K12340	outer membrane protein	2.1586458753588516e-5	418
Intermediate RT	Tongue_dorsum	Human Diseases	Drug resistance: antimicrobial	beta-Lactam resistance	K12340	outer membrane protein	2.1586458753588516e-5	418
Intermediate RT	Tongue_dorsum	Human Diseases	Infectious disease: bacterial	Pertussis	K12340	outer membrane protein	2.1586458753588516e-5	418
Intermediate RT	Tongue_dorsum	Organismal Systems	Environmental adaptation	Plant-pathogen interaction	K12340	outer membrane protein	2.1586458753588516e-5	418
Intermediate RT	Tongue_dorsum	Metabolism	Lipid metabolism	Steroid hormone biosynthesis	K12343	3-oxo-5-alpha-steroid 4-dehydrogenase 1	2.178025849282297e-6	418
Intermediate RT	Tongue_dorsum	Cellular Processes	Cell motility	Bacterial chemotaxis	K12368	dipeptide transport system substrate-binding protein	9.1686485784689e-5	418
Intermediate RT	Tongue_dorsum	Environmental Information Processing	Membrane transport	ABC transporters	K12368	dipeptide transport system substrate-binding protein	9.1686485784689e-5	418
Intermediate RT	Tongue_dorsum	Environmental Information Processing	Membrane transport	ABC transporters	K12369	dipeptide transport system permease protein	9.829901077272728e-5	418
Intermediate RT	Tongue_dorsum	Environmental Information Processing	Membrane transport	ABC transporters	K12370	dipeptide transport system permease protein	9.878985879425837e-5	418
Intermediate RT	Tongue_dorsum	Environmental Information Processing	Membrane transport	ABC transporters	K12371	dipeptide transport system ATP-binding protein	6.619394543062201e-5	418
Intermediate RT	Tongue_dorsum	Environmental Information Processing	Membrane transport	ABC transporters	K12372	dipeptide transport system ATP-binding protein	1.5038082854066986e-4	418
Intermediate RT	Tongue_dorsum	Cellular Processes	Transport and catabolism	Lysosome biogenesis	K12373	hexosaminidase	3.7190214306220094e-4	418
Intermediate RT	Tongue_dorsum	Metabolism	Glycan biosynthesis and metabolism	Amino sugar and nucleotide sugar metabolism	K12373	hexosaminidase	3.7190214306220094e-4	418
Intermediate RT	Tongue_dorsum	Metabolism	Glycan biosynthesis and metabolism	Glycosaminoglycan degradation	K12373	hexosaminidase	3.7190214306220094e-4	418
Intermediate RT	Tongue_dorsum	Metabolism	Glycan biosynthesis and metabolism	Glycosphingolipid biosynthesis - ganglio series	K12373	hexosaminidase	3.7190214306220094e-4	418
Intermediate RT	Tongue_dorsum	Metabolism	Glycan biosynthesis and metabolism	Glycosphingolipid biosynthesis - globo and isoglobo series	K12373	hexosaminidase	3.7190214306220094e-4	418
Intermediate RT	Tongue_dorsum	Metabolism	Glycan biosynthesis and metabolism	Other glycan degradation	K12373	hexosaminidase	3.7190214306220094e-4	418
Intermediate RT	Tongue_dorsum	Metabolism	Glycan biosynthesis and metabolism	Various types of N-glycan biosynthesis	K12373	hexosaminidase	3.7190214306220094e-4	418
Intermediate RT	Tongue_dorsum	Metabolism	Lipid metabolism	Sphingolipid metabolism	K12373	hexosaminidase	3.7190214306220094e-4	418
Intermediate RT	Tongue_dorsum	Metabolism	Metabolism of cofactors and vitamins	Nicotinate and nicotinamide metabolism	K12410	NAD-dependent protein deacetylase/lipoamidase	5.365609784688995e-4	418
Intermediate RT	Tongue_dorsum	Cellular Processes	Cellular community - prokaryotes	Quorum sensing	K12415	competence-stimulating peptide	5.218953844497608e-5	418
Intermediate RT	Tongue_dorsum	Environmental Information Processing	Signal transduction	Two-component system	K12415	competence-stimulating peptide	5.218953844497608e-5	418
Intermediate RT	Tongue_dorsum	Metabolism	Lipid metabolism	Mycolic acid biosynthesis	K12428	fatty acyl-AMP ligase FadD32	3.9206746650717703e-7	418
Intermediate RT	Tongue_dorsum	Metabolism	Lipid metabolism	Mycolic acid biosynthesis	K12437	polyketide synthase 13	1.6493167703349282e-7	418
Intermediate RT	Tongue_dorsum	Metabolism	Glycan biosynthesis and metabolism	Amino sugar and nucleotide sugar metabolism	K12448	UDP-arabinose 4-epimerase	1.437699177033493e-4	418
Intermediate RT	Tongue_dorsum	Metabolism	Glycan biosynthesis and metabolism	Biosynthesis of various nucleotide sugars	K12452	CDP-4-dehydro-6-deoxyglucose reductase, E1	3.678651751196172e-5	418
Intermediate RT	Tongue_dorsum	Metabolism	Glycan biosynthesis and metabolism	Biosynthesis of various nucleotide sugars	K12454	CDP-paratose 2-epimerase	6.382283612440191e-7	418
Intermediate RT	Tongue_dorsum	Metabolism	Metabolism of terpenoids and polyketides	Terpenoid backbone biosynthesis	K12503	short-chain Z-isoprenyl diphosphate synthase	1.2726826086124403e-4	418
Intermediate RT	Tongue_dorsum	Metabolism	Metabolism of terpenoids and polyketides	Terpenoid backbone biosynthesis	K12506	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase / 2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase	6.561943246411484e-5	418
Intermediate RT	Tongue_dorsum	Environmental Information Processing	Signal transduction	Two-component system	K12510	tight adherence protein B	2.3572300717703348e-4	418
Intermediate RT	Tongue_dorsum	Environmental Information Processing	Signal transduction	Two-component system	K12511	tight adherence protein C	5.326957133971292e-5	418
Intermediate RT	Tongue_dorsum	Metabolism	Amino acid metabolism	Cysteine and methionine metabolism	K12524	bifunctional aspartokinase / homoserine dehydrogenase 1	1.163392090909091e-4	418
